,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
71,"The Feels",TWICE,1164257,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
72,"Someone You Loved","Lewis Capaldi",1152651,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
73,"Dark Red","Steve Lacy",1140220,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
74,"Happier Than Ever - Edit","Billie Eilish",1132190,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
75,DÁKITI,"Bad Bunny",1131912,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
76,"lovely (with Khalid)","Billie Eilish",1111199,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
77,Dynamite,BTS,1108513,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
78,WFM,Realestk,1095794,https://open.spotify.com/track/18ddJHQ7CUzNBiy55L0Xjj
79,happier,"Olivia Rodrigo",1075670,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
80,"You Right","Doja Cat",1073105,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
81,"edamame (feat. Rich Brian)",bbno$,1066518,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
82,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1060144,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
83,"Mood (feat. iann dior)",24kGoldn,1057231,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
84,Freaks,"Surf Curse",1053750,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
85,"Permission to Dance",BTS,1044069,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
86,París,Ingratax,1043889,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
87,"Don't Start Now","Dua Lipa",1043234,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
88,"AM Remix","Nio Garcia",1036626,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
89,"Set Fire to the Rain",Adele,1033074,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
90,"Girls Want Girls (with Lil Baby)",Drake,1022557,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
91,"family ties (with Kendrick Lamar)","Baby Keem",1022466,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
92,"I GUESS I'M IN LOVE","Clinton Kane",1005351,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
93,Hurricane,"Kanye West",993608,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
94,"Jugaste y Sufrí","Eslabon Armado",985791,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
95,Acapulco,"Jason Derulo",985068,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
96,Yellow,Coldplay,981663,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
97,"Before You Go","Lewis Capaldi",971502,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
98,"Save Your Tears","The Weeknd",970230,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
99,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",965496,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
100,Believer,"Imagine Dragons",942419,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
101,"The Business",Tiësto,938026,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
102,"Entre Nosotros","Tiago PZK",924231,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
103,"Astronaut In The Ocean","Masked Wolf",917913,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
104,"Love Again","Dua Lipa",913260,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
105,"Está Dañada","Ivan Cornejo",913221,https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR
106,Perfect,"Ed Sheeran",911884,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
107,"Like I Can","Sam Smith",909548,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
108,"Coração Cachorro","Avine Vinny",905057,https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE
109,"Another Love","Tom Odell",904999,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
110,"Chosen (feat. Ty Dolla $ign)",Blxst,899244,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
111,Dandelions,"Ruth B.",898956,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
112,"Tiroteo - Remix","Marc Seguí",897860,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
113,Miénteme,TINI,891066,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
114,"Nuestra Canción","Monsieur Periné",891040,https://open.spotify.com/track/5reQI13tWWYDLMrGcUF4Mk
115,Heather,"Conan Gray",890994,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
116,Circles,"Post Malone",890558,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
117,"Ain't Shit","Doja Cat",890043,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
118,"Daddy Issues","The Neighbourhood",889662,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
119,"Love Tonight - Edit",Shouse,888260,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
120,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",887555,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
121,positions,"Ariana Grande",887287,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
122,"favorite crime","Olivia Rodrigo",881334,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
123,"Pareja Del Año","Sebastian Yatra",878056,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
124,Infinity,"Jaymes Young",872428,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
125,Arcade,"Duncan Laurence",872120,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
126,Classic,MKTO,866677,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
127,"Dance Monkey","Tones And I",865982,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
128,"Send My Love (To Your New Lover)",Adele,862351,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN
129,RAPSTAR,"Polo G",862295,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
130,"Una Nota","J Balvin",858306,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
131,Ateo,"C. Tangana",853144,https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
132,"Shape of You","Ed Sheeran",849100,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
133,"Take Me To Church",Hozier,848992,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
134,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,846393,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
135,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,845891,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
136,"GHOST TOWN","Benson Boone",845668,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
137,"you broke me first","Tate McRae",844755,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
138,"Heartbreak Anniversary",Giveon,844232,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
139,"Smells Like Teen Spirit",Nirvana,840331,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
140,"jealousy, jealousy","Olivia Rodrigo",832474,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
141,"Talking to the Moon","Bruno Mars",825358,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
142,"Arranhão - Ao Vivo","Henrique & Juliano",824175,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
143,"Say You Won't Let Go","James Arthur",821949,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
144,SEJODIOTO,"KAROL G",819549,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
145,"Counting Stars",OneRepublic,811542,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
146,"Not In The Mood (feat. Fivio Foreign & Kay Flock)","Lil Tjay",810981,https://open.spotify.com/track/25GyyK9CyZRiDCsPY51fIT
147,"The Nights",Avicii,807156,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
148,Shallow,"Lady Gaga",806198,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
149,"we fell in love in october","girl in red",805509,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
150,"Wildest Dreams (Taylor's Version)","Taylor Swift",804020,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
151,"Bubbly (with Drake & Travis Scott)","Young Thug",803204,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
152,A-O-K,"Tai Verdes",797346,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
153,"The Real Slim Shady",Eminem,797326,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
154,"All I Ask",Adele,791196,https://open.spotify.com/track/6DEMMeWXfmFAXgDUMMzeg6
155,"Somebody That I Used To Know",Gotye,790181,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
156,telepatía,"Kali Uchis",789779,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
157,Memories,"Maroon 5",787278,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
158,"Mr. Brightside","The Killers",786687,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
159,Sky,"Playboi Carti",778606,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
160,Riptide,"Vance Joy",777238,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
161,masquerade,Siouxxie,776848,https://open.spotify.com/track/64EA2RKyciBwCuVczLH6Ct
162,Señorita,"Shawn Mendes",776527,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
163,"She Knows (feat. Amber Coffman & Cults)","J. Cole",775631,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
164,"No Role Modelz","J. Cole",775540,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
165,"Without Me",Eminem,774503,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
166,"Mon Amour - Remix",zzoilo,771644,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
167,"Chasing Pavements",Adele,768440,https://open.spotify.com/track/0Z5ok0QLLttAKsujOZYOXf
168,Dealer,"Lana Del Rey",768126,https://open.spotify.com/track/7iqQz931tn59mK6IZ3knRx
169,"Jocelyn Flores",XXXTENTACION,766114,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
170,"Venom - Music From The Motion Picture",Eminem,765501,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
171,Levitating,"Dua Lipa",764530,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
172,"All of Me","John Legend",762772,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
173,"Gangsta's Paradise",Coolio,762393,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
174,goosebumps,"Travis Scott",762285,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
175,Loco,"Justin Quiles",758066,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
176,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","DJ Patrick Muniz",757714,https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h
177,"Have Mercy",Chlöe,755357,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
178,"Bohemian Rhapsody - Remastered 2011",Queen,753907,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
179,"bad guy","Billie Eilish",751547,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
180,Photograph,"Ed Sheeran",751341,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
181,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",750940,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
182,LOCO,ITZY,748998,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
183,"The Night We Met","Lord Huron",746673,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
184,Present,Khalid,745585,https://open.spotify.com/track/6RBfz4bNLNzvt37HycN1Xf
185,"double take",dhruv,745259,https://open.spotify.com/track/47isJpIIO8m7BJEhiFhnaf
186,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",744634,https://open.spotify.com/track/4yNoUQkYf1QF8iYlEzNynH
187,"Livin It Up (with Post Malone & A$AP Rocky)","Young Thug",742445,https://open.spotify.com/track/7zjEyeBsaw9gV0jofJLfOM
188,"Sexo Virtual","Rauw Alejandro",741103,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
189,Thunder,"Gabry Ponte",737743,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
190,"Make You Feel My Love",Adele,735870,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb
191,Teenagers,"My Chemical Romance",732209,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
192,"The Hills","The Weeknd",731794,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
193,"Every Breath You Take","The Police",729388,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
194,"Wake Me Up",Avicii,728379,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
195,Unfollow,Duki,727646,https://open.spotify.com/track/6GsD646HrIDJJpzoY9T1Rt
196,"7 rings","Ariana Grande",724007,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
197,"Something Just Like This","The Chainsmokers",723351,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
198,"Blank Space","Taylor Swift",721489,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
199,Hello,Adele,719558,https://open.spotify.com/track/1Yk0cQdMLx5RzzFTYwmuld
200,"'Till I Collapse",Eminem,716556,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
